remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.09,0,0.15,0,1280,720,5,0.0,0,0,0,0,0.0
0.09,4,0.16,36,1280,720,4,4.61,107,0,311722,8,89.38
0.09,0,0.16,50,1280,720,5,7.1,39,0,431539,0,81.0
0.1,11,0.09,36,1280,720,6,5.96,85,0,308677,4,161.17
0.09,5,0.16,35,1280,720,5,4.95,134,0,291745,6,156.0
0.1,5,0.31,22,1280,720,4,4.06,72,0,183154,3,114.5
0.09,3,0.14,33,1280,720,3,3.95,187,0,292376,3,112.75
0.09,7,0.27,37,1280,720,1,1.0,541,0,338936,6,140.0
0.1,7,0.22,24,1280,720,1,1.01,522,0,220024,5,176.0
0.13,2,0.0,21,1280,720,3,3.0,195,0,179279,3,186.67
0.18,2,0.15,23,1280,720,3,2.97,194,0,185626,4,193.33
0.18,7,0.28,16,1280,720,2,1.99,94,0,132747,4,177.0
0.18,3,0.3,14,1280,720,1,1.01,209,0,123382,3,165.0
0.17,3,0.3,9,1280,720,1,1.0,145,0,72368,2,208.0
0.17,2,0.33,6,1280,720,2,2.01,54,1,43278,1,190.5
0.19,0,0.0,13,1280,720,1,1.0,272,0,110521,1,161.0
0.17,1,0.07,1,1280,720,1,1.0,18,0,2389,0,208.0
0.19,1,0.5,1,1280,720,3,0.0,0,0,8433,1,0.0
0.19,0,0.0,16,1280,720,2,3.0,173,0,126339,2,158.0
0.17,5,0.5,15,1280,720,2,2.01,348,2,129712,4,173.5
0.21,1,0.1,6,1280,720,2,0.0,465,1,47468,0,0.0
0.23,1,0.0,6,1280,720,1,2.16,72,0,57147,1,173.5
0.22,1,0.16,12,1280,720,3,0.0,519,0,106298,1,0.0
0.22,2,0.22,2,1280,720,5,0.0,0,0,17649,3,0.0
0.22,0,0.0,10,1280,720,4,2.0,258,0,87683,1,172.0
