remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.03,0,0.25,0,320,180,8,0.0,0,0,0,0,0.0
0.11,11,0.5,9,320,180,9,8.29,40,0,27128,0,19.17
0.09,4,0.5,11,320,180,9,9.69,46,0,35459,0,16.56
0.08,3,0.5,10,320,180,9,9.56,10,0,32176,0,9.38
0.07,5,0.36,10,320,180,10,9.99,10,0,32157,0,8.9
0.06,1,0.11,3,320,180,3,2.99,16,0,17876,0,96.67
0.03,2,0.0,7,320,180,7,6.98,11,0,28688,0,74.86
0.03,2,0.33,10,320,180,6,5.94,49,0,51724,0,81.5
0.02,2,0.4,3,320,180,3,3.05,14,0,8990,0,97.33
0.02,3,0.0,7,320,180,7,6.95,12,0,39988,0,96.29
0.02,2,0.33,9,320,180,9,8.92,14,0,27412,0,89.78
0.02,1,0.16,8,320,180,7,7.05,23,0,41787,0,44.57
0.02,1,0.14,6,320,180,1,1.0,290,0,47400,0,30.0
0.02,5,0.0,3,320,180,1,1.0,97,0,20788,0,67.0
0.01,4,0.44,3,320,180,3,3.01,13,0,21815,0,103.0
0.03,3,0.6,6,320,180,5,5.0,23,0,37067,0,105.4
0.04,0,0.0,5,320,180,5,4.97,10,0,35361,0,105.8
0.04,0,0.0,6,320,180,6,6.02,9,0,30074,0,105.5
0.03,2,0.33,7,320,180,4,5.0,29,0,39091,0,104.6
0.02,2,0.28,4,320,180,4,4.0,11,0,25962,0,105.75
0.02,2,0.33,3,320,180,3,3.01,20,0,14337,0,104.67
0.02,4,0.8,6,320,180,5,4.99,20,0,23380,0,101.2
0.02,0,0.0,8,320,180,7,6.96,20,0,48644,0,98.57
0.02,7,0.0,5,320,180,4,5.72,17,0,29419,0,105.45
0.02,0,0.0,13,320,180,4,0.0,42,0,115453,0,0.0
